	sentiment	review
19	6	Where our processing of your Personal Data is based on your consent, you may have the right to withdraw such consent at any time. The withdrawal of your consent will not affect the lawfulness of the processing based on consent before its withdrawal.
20	1	Level Eight may also collect information about you from other sources, such as third party sites or platforms, newspapers, blogs, instant messaging services, and other End Users of the Game through the operation of the Game in order to provide you with more useful information and a more personalized experience.
21	2	To communicate with you about the Service: We use your contact information to get in touch with you and to send communications about critical elements of the Service. For example, we may send you emails about technical issues, security alerts or administrative matters.
22	4	We do not share your information with others except as indicated below, or otherwise agreed by you.
23	4	Yes. For the purposes of analytics and advertising, we use services and solutions provided by third parties. Such parties process these data on our behalf and the respective technical solutions represent a part of the Game. Any transfer of your personal data to any of our partners is made, provided that such third parties comply with applicable personal data protection laws, including, but not limited to, General Data Protection Regulation 2016/679. Any transfer of your personal data to a third party is based on an agreement with such third party, and we make sure such a third party complies with the applicable data protection regulations, unless we are entitled by applicable data protection laws to transfer personal data without a written agreement (for example, if you have given you consent to such third party to obtain your personal data from us). In certain cases we may transfer information about you to other third parties (for example, independent personal data controllers), if we are obliged or allowed to do so by applicable laws. If it is the case, we transfer such information while adhering to applicable personal data protection laws, including, but not limited to, General Data Protection Regulation 2016/679.
24	6	③ Data subjects may exercise their rights set forth in this Article by contacting support@weply.io or privacy@weply.io
25	4	Mobile phone numbers listed in Article 1 above Used to process sign-ups, product purchases, outsourcing of SMS text messaging to users, account deletions, or termination/expiration of the outsourcing agreement.
26	4	Any information in your public profile (e.g., your username and any profile image, location or additional information that you provide as part of your Public Profile, but not your phone number, or email address) will be accessible by other users of the Services. Content that you create through or upload to the Services will by default be public and available to users of the Services.
27	6	Please note that if you withdraw your consent, your user license to use the App will cease automatically.
28	2	Information across Facebook Products and devices: We connect information about your activities on different Facebook Products and devices to provide a more tailored and consistent experience on all Facebook Products you use, wherever you use them. For example, we can suggest that you join a group on Facebook that includes people you follow on Instagram or communicate with using Messenger. We can also make your experience more seamless, for example, by automatically filling in your registration information (such as your phone number) from one Facebook Product when you sign up for an account on a different Product.
29	1	Information Collection and Use ; Crazy Maple Studio collects information as described below. Our primary goals in collecting and using information is to create your account, provide Services to you, improve our Service, contact you, conduct research and create reports for internal use. We store information on servers located in US via Amazon Web Services and may store information on servers and equipment in other countries.
30	4	Carolgames has partners to perform services for us. These partners process your data only at and according to Carolgames´s instructions to provide the Service, such as hosting, player support, advertising, analytics and fraud prevention.
31	7	Your personal data are deleted or anonymized as soon as it no longer serves one of the above mentioned purposes and in any event no later than three (3) years after your interaction with SayGames has ceased.
32	4	The privacy policies of our service providers may include additional terms and disclosures regarding their data collection and use practices and tracking technologies, and we encourage you to check those privacy policies to learn more about their data collection and use practices, use of cookies and other similar tracking technologies.
33	2	Data subjects in the EU will be asked to provide their clear and unequivocal consent for the collection, processing and transfer of their personal data.
34	0	All of our Services, whether used on mobile devices, PCs or other platforms, are governed by this Privacy Policy.
35	1	We may directly collect analytics data, or use third-party analytics tools, to help us measure traffic and usage trends for the Service. These tools collect information sent by your browser or mobile device, including the pages you visit and other information that assists us in improving the Service.
36	1	When you use the Services, you may generate learning data such as test answers, learning scores, and progress within a course, which we will collect and store for use in connection with the Services.
37	2	Telegram has two fundamental principles when it comes to collecting and processing private data: ; We don't use your data to show you ads. ; We only store the data that Telegram needs to function as a secure and feature-rich messaging service.
38	2	E. Security Purposes.We process your personal information to: improve and enforce our security measures; combat spam, malware, malicious activities or security risks; and to monitor and verify your identity so that unauthorized users do not access your account with us. We cannot ensure the security of our Services if we do not process your personal information for security purposes.
39	7	If you signed up for Telegram from the UK or the EEA, your data is stored in data centers in the Netherlands. These are third-party provided data centers in which Telegram rents a designated space. However, the servers and networks that sit inside these data centers and on which your personal data is stored are owned by Telegram. As such, we do not share your personal data with such data centers. All data is stored heavily encrypted so that local Telegram engineers or physical intruders cannot get access.
40	0	 We are committed to protecting your privacy and take special measures to ensure the confidentiality of Personally Identifiable Information collected from or about you. This privacy policy explains how we collect, store and use such Personally Identifiable Information
41	2	Purpose of User’s personal data processing: fulfillment of the provisions of the Terms of Use concluded between the User and the YUMOBI TEKHNOLODZHI, OOO, provision of the User’s access to the services provided by the YUMOBI TEKHNOLODZHI, OOO.
42	2	Among the purposes for which we may use such generally non-personally identifying information is for identification purposes in the event of an emergency threatening life or property, or where proper legal process allows using such information. For instance, we may use your IP address or other automatically recorded information, in cooperation with your Internet provider, to attempt to identify you if it is necessary to contact you or to bring legal action against you because you are violating the Terms of Service for use for this Service, may be causing injury to or interference (intentionally or unintentionally) with our company's rights or property, or may be adversely affecting other users of this Service or anyone else who could be harmed by your activities.
43	10	If we consider that any of our Services are directed at users under the minimum legal age required in their country of residence, we can block such users from using the Services or from providing information and/or limit the collection of information from such users as more particularly described below.
44	8	● Web Behavior Data. We retain any information collected via cookies, clear gifts, flash cookies, web page counters and other technical or analytic tools in our system for a certain date and time from expiry of the cookie or the date of collection.
45	4	Additionally, in the event of a merger, acquisition, reorganization, bankruptcy, or other similar event, customer information may be transferred to Mobirix's successor or assignee, if permitted by and done in accordance with applicable law.
46	1	You may not have to create an account to use some of our Services. However if you do choose to create an account and sign up for a Service, we may collect a variety of information from you for that Service based on what you provide to us, such as: name, birth date or age range, gender, and email or physical address. If you are paying for the Service, standard payment and billing information is required. We do not require users to provide their race, ethnicity, political opinions, religious or philosophical beliefs, trade union membership, physical or mental health, sexual orientation or criminal record in their account. Please do not post or add personal data to your account that you would not want to be publicly available.
47	6	Please be aware that even after your account is terminated or deleted, some or all of your information may still remain visible to others. A request to delete and/or termination of your account will not result in the removal of information collected and already put in aggregate form or information that cannot, in our sole discretion, be removed without undue burden to us. We are not able and/or obligated to remove any of your information from a third party platform. Moreover, please be aware that even after you delete your account or your account is terminated, your information may not be deleted in its entirety from our servers and servers of the third party with whom such information have been shared
48	0	When you use Uber, you trust us with your information. We are committed to keeping that trust. That starts with helping you understand our privacy practices.
49	4	4.2. We may share your data with MGL MY.COM (CYPRUS) LIMITED and other our affiliates. Sometimes we may also need to share your data with a third party in order to provide our Services to you or to administer the Services, for example if you choose to share your data across social media platforms.
50	0	This Privacy Policy was established in order to comply with the provisions of the General Data Protection Regulation (GDPR), legislation of the EU Member States and protect personal data rights of our users.
51	4	Some of the content that you see displayed on Medium is not hosted by Medium. These “embeds” are hosted by a third-party and embedded in a Medium page, so that it appears to be part of that page. For example: YouTube or Vimeo videos, Imgur or Giphy gifs, SoundCloud audio files, Twitter tweets, GitHub code snippets, or Scribd documents that appear within a Medium post. These files send data to the hosted site just as if you were visiting that site directly (for example, when you load a Medium post page with a YouTube video embedded in it, that video appears because of a pointer to files hosted by YouTube, and in turn YouTube receives data about your activity, such as your IP address and how much of the video you watch).
52	2	F. Maintain Legal and Regulatory Compliance. We process your personal information to pay our taxes or fulfill our other business obligations, and/or to manage risk as required under applicable law. We cannot perform the Services in accordance with our legal and regulatory requirements without processing your personal information for such purposes.
53	1	Some of the third-party monetization SDKs integrated in our app may access your information for the purpose of ad optimization.  Such information includes GAID (Google Advertising ID on Android devices) or IDFA (Identifier for Advertising on iOS devices), region (defined as the location where a given language is used), location information and IP address. This Policy does not govern our third party monetization partners, as they have their own privacy policies which can be viewed on their websites. We have no access to or control over such third parties. However, we have a routine procedure to scan all third party SDKs to detect if they collect sensitive user information. The partners we select to work with include but are not limited to Google AdMob (monetization platform of Google LLC), DoubleClick Ad Exchange (monetization platform of Google LLC), DoubleClick for Publishers (monetization platform of Google LLC), Facebook Audience Network (monetization platform of Facebook, Inc.), MoPub (monetization platform of Twitter, Inc.), Amazon, Fyber, Smaato, etc. 
54	7	Although we make good faith efforts to store the information collected on the Service in a secure operating environment that is not available to the public, we cannot guarantee the absolute security of that information during its transmission or its storage on our systems. Further, while we attempt to ensure the integrity and security of our network and systems, we cannot guarantee that our security measures will prevent third-party “hackers” from illegally obtaining access to this information. We do not warrant or represent that your information will be protected against, loss, misuse, or alteration by third parties. No method of transmission over the Internet, or method of electronic storage, is 100% secure, however. Therefore, we cannot guarantee its absolute security.
55	3	Examples of Cookies we use: ; Session Cookies. We use Session Cookies to operate our Service. ; Preference Cookies. We use Preference Cookies to remember your preferences and various settings. ; Security Cookies. We use Security Cookies for security purposes. ; Advertising Cookies. Advertising Cookies are used to serve you with advertisements that may be relevant to you and your interests.
56	7	All gameplay services provided to you by PikPok are hosted using various Amazon Web Services (AWS). AWS is a global leader in cloud technology and has robust data protection, privacy policies and processes in place. For more information, see https://aws.amazon.com/security/ and https://aws.amazon.com/compliance/data-privacy-faq/.
57	0	We are DianDian Interactive Holding (“DianDian”), thanks for playing our games! We respect your privacy rights and recognize the importance of protecting the information collected about you. This Privacy Policy is designed to provide clarity about the information we collect, how we use it to provide a better gaming experience as well as how you can exercise your privacy rights. It applies to all DianDian’ mobile and online games, websites and related services. In this policy, we may refer to DianDian as “we” or “us”. If you have any questions regarding our privacy policy or DianDian’ data protection practices, please contact us as described in the Section 10 (“Contact Us”).
58	4	We reserve the right to partner with a third party ad network to either display advertising on our App or to manage our advertising on other sites. Our ad network partner would use technologies to collect non-personally identifiable information about your activities on this and other Apps to provide you targeted advertising based upon your interests
59	2	1 Data you provide for registering in the Services including your email and/or mobile phone number We use this information in order to manage and administer the Services provided to you.
60	7	When we use third parties to assist us in processing your personal information or credit card information, we take reasonable steps to require that they comply with this Privacy Policy and otherwise protect your personal information (including any credit card information).
61	2	We may use your email address to contact you about your experience with the Site and notify you about Mobirate news and promotions.  Your gender and birthday may be used to analyze user trends and target certain promotions. 
62	0	At Mimo, we know how much you care about your personal information, so we have prepared this privacy policy to explain how we collect, use, and share it with third parties.
63	3	We may feature advertisements served by third parties that deliver cookies to your computer/device so the content you access and advertisements you see can be tracked. Since the third party advertising companies associate your computer/device with a number, they will be able to recognize your computer/device each time they send you an advertisement. These advertisers may use information about your visits to our Service and third party sites and applications in order to measure advertisement performance and to provide advertisements about goods and services of interest to you. This Policy does not apply to, and we are not responsible for the data collection practices of these third party advertisers, and we encourage you to check their privacy policies to learn more about their use of cookies and other technology.
64	6	We offer the ability to correct or update online the Personal Data collected during registration via your account settings on our website or the applicable application or by contacting support via our website (www.singnowapp.com).
65	4	For us to be able to provide a free service, we could allow other companies to use cookies, web beacon and similar technologies within our Services. Such companies could collect data on the conditions of use of our services over time and combine them with comparable data collected from other services and companies. Such data could be used, among other things, to analyse and track data, determine the popularity of certain contents or better understand your online activities.
66	1	Types of Personal Data Collected
67	0	This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our Service and the choices you have associated with that data.
68	1	Bluehole PNIX collects information as described below. Our primary goals in collecting and using information is to create your account, provide Services to you, improve our Service, contact you, conduct research and create reports for internal use. We store information on servers located in the United States via Amazon Web Services and may store information on servers and equipment in other countries.
69	0	Funtrio Limited, its partners, parent companies, subsidiaries, licensees, licensors and affiliates, including Beijing Bole Technology Co., Ltd. (collectively, the “Company”, “we” or “us”) develop, publish, market and commercialize a variety of games for use on various platforms, including mobile devices (our “Applications”) through which we offer relating game play and social gaming services, including the ability to make purchases through the Applications (collectively, the “Services”).
70	2	To research and analyze your use of the Service ; This helps us to better understand our business, analyze our operations, maintain, improve, innovate, plan, design, and develop the App and our new products. We also use such data for statistical analysis purposes, to test and improve our offers. This enables us to better understand what features and training plans of the App our users like more, what categories of users use our App. As a consequence, we often decide how to improve the App based on the results obtained from this processing. For example, if we discover that users more often engage in workouts designated for legs, we may develop and introduce a new workout for this area into the App.
71	4	When you share and communicate using our Products, you choose the audience for what you share. For example, when you post on Facebook, you select the audience for the post, such as a group, all of your friends, the public, or a customized list of people. Similarly, when you use Messenger or Instagram to communicate with people or businesses, those people and businesses can see the content you send. Your network can also see actions you have taken on our Products, including engagement with ads and sponsored content. We also let other accounts see who has viewed their Facebook or Instagram Stories.
72	6	When you delete your account, we delete things you have posted, such as your photos and status updates, and you won't be able to recover that information later. Information that others have shared about you isn't part of your account and won't be deleted. If you don't want to delete your account but want to temporarily stop using the Products, you can deactivate your account instead. To delete your account at any time, please visit the Facebook Settings and Instagram Settings.
73	5	We may collect your email address when you contact our customer service group and we may use that email address to contact you about your gaming experience with us and notify you about company news and promotions.
74	3	"The Game use cookies to ensure proper function and so You get the highest level of satisfaction. Cookies are small amounts of information which We store on Your computer. They make it easier for You to log into and use the Games. They also allow Us to monitor website traffic and Your use of the website and to personalize the content of the Games for You. If You do not wish Us to install cookies on Your computer for these purposes, You may change the settings on Your internet browser to reject cookies. For more information please consult the ""Help"" section of Your internet browser. Please note that if You do set Your internet browser to reject cookies, You may not be able to use all of the features of the Games (for example, easy logging into the Games)."
75	1	Additionally, we may acquire information from you through (1) your access and participation in message boards on the Service (2) your email of a question to our customer support or (3) your purchase of a virtual product of any type.
76	11	Expanded [10.2. Deleting Messages] with data on the new features in version 5.5, which allow both participants to remove any messages from one-on-one chats for both sides without a time limit.
77	1	If you send us support requests or comments you may also provide us with additional information to enable us to contact you and address your feedback and we may retain such information to enhance our Services and to respond to you.
78	2	How Rooster Games uses collected information from people who play the Games: ; Rooster Games may use your information to: ; facilitate the improvement of the Games and your experience of the Games; ; prevent fraud or illegal activities; ; provide technical support in relation to player enquires, resolving disputes, collecting fees and troubleshooting; ; complete your transactions; ; share with third parties for the purposes as described in paragraph below.
79	6	You have the right to ask us to completely delete your personal data. In order to have your personal data erased (deleted), please, send us a message describing your request through our help service within the Game. Please, be informed that we will not erase your Game ID, as we need to keep it for our internal records. However, we will erase all data that may help us identify you; therefore, your Game ID will not be considered personal data anymore.
80	7	We work hard to protect Ready Player and our users from unauthorized access to or unauthorized alteration, disclosure or destruction of information we hold. In particular: ; We encrypt many of our service using SSL. ; We review our information collection, storage and processing practices, including physical security measures, to guard against unauthorized access to systems.
81	2	In limited situations, we share de-identified content and information with researchers for educational research purposes.
82	5	If you want us to stop collecting information about you, there may be some settings you can adjust in your browser or device. But Canva might be pretty boring without it.
83	5	Tubi's Use of Your Information to Send You Promotional Materials. When you receive promotional communications from us, you will have the opportunity to “opt-out” by following the unsubscribe instructions provided in the e-mail you receive. You may opt out of receiving alerts or email updates from Tubi promoting our site or the products or services of our business partners, or notices about your queues or subscribed content via the functionality on the Tubi Services. Regardless of your choices with respect to promotional communications and updates regarding content, we may send you certain communications regarding the Tubi Services, e.g., communications regarding updates to our Terms of Service or this Privacy Policy, and you will not be able to opt out of those communications.
84	9	If you choose to use the Services or provide your information to us, your personal information may be transferred to, processed and maintained on servers or databases located outside of the country or jurisdiction where you are located. Such countries or jurisdictions may have data protection laws that are less protective than the laws of the jurisdiction in which you reside. If you do not want your information transferred to or processed or maintained outside of the country or jurisdiction where you are located, you should not use the Services.
85	4	In order to provide the Service to the Members, carry out the Service agreements entered into with the Members, and promote the convenience of the Members, the Company outsources the processing of the Members’ personal data to Korean and foreign third-party service providers (“Outsourced Processors”) specializing in data processing where necessary and within the scope disclosed under this Privacy Policy.
86	6	Please, be informed that this right may be exercised only in a situation set forth in Article 18 of General Data Protection Regulation 2016/679. In order to restrict processing of your personal data, please, send us a message describing your request and stating the basis of restriction through our help service within the Game.
87	4	The App offers social sharing features and other integrated tools (such as the Facebook “Like” button), which let you share actions you take in the App with other media. You must be over the minimum age limit that is prescribed by the legislation in the individual jurisdictions to use any social sharing features integrated in the App. The use of such features enables the sharing of information with your friends or the public, depending on the settings you establish with the entity that provides the social sharing feature.
88	2	• to enforce our Terms and Conditions of Use and to prevent and combat fraud ; Our legitimate interests for this purpose are enforcing our legal rights, preventing and addressing fraud and unauthorised use of the Service, non-compliance with our Terms and Conditions of Use.
89	2	We primarily use the information to provide you with a better gaming experience, but we also use your information, both individually and combined, as follows: ; To operate our business and to enhance your gaming experience, including to: ; provide you with the Services that are suitable to your age and compliant with the applicable laws of your country of residence ; provide gaming experiences that you may like and functionalities you have subscribed to ; track your use of the Services to help us learn more about your gaming activities and understand your preferences and tendencies, so that we can personalise your experience, provide you with in-game offers and notifications that are tailored to you, and otherwise enhance your gaming experience ; facilitate sharing on social networks ; register your participation in a contest and contact you in case of prizes ; offer you the opportunity to take part in playtesting (game tests) ; protect against cheating, crime or fraud, or for other security reasons ; identify and fix bugs and service errors ; use it for administration, analytics, research, and optimisation ; compile statistics ; comply with all regulatory and legal requirements, and answer any requests from Data Protection Authorities or any law-enforcement agency ; To provide you with support, communicate with you and respond to any requests or questions you have submitted through our customer support.
90	3	Each browser is different, so check the “Help” menu of your browser to learn how to change your cookie preferences. Cookies are browser specific; thus, if you use multiple devices or web browsers to access Ilyon Games and Services, you will need to manage your cookies preferences across these various devices and browsers. If you are using a mobile device to access Ilyon’s Games and/or Services, please refer to your instruction manual or other help/settings resource to find out how you can control cookies on your device.
91	1	HOMER Learning requires a valid e-mail address in order to register as a Member and to gain full access to our Services. We will use this email address to send the Member a message that can be used to notify the Member about our privacy practices, and to send the Member communications about their account or about features of our Services, including periodic updates about HOMER Learning, and for such other purposes as described in this Privacy Policy. This email address is correlated with the account user name. The email address may also be used to contact and inform the parent about the child’s participation in HOMER Learning.
92	4	When we believe disclosure is appropriate in connection with efforts to investigate, prevent, or take other action regarding illegal activity, suspected fraud or other wrongdoing; to protect and defend the rights, property or safety of our company, our users, our employees, or others; to comply with applicable law or cooperate with law enforcement; or to enforce our terms and policies.
93	4	We may disclose your personal information to any member of our group, which means our subsidiaries, our ultimate holding company and its subsidiaries, as defined in section 1159 of the UK Companies Act 2006.
94	4	Public information can be seen by anyone, on or off our Products, including if they don't have an account. This includes your Instagram username; any information you share with a public audience; information in your public profile on Facebook; and content you share on a Facebook Page, public Instagram account or any other public forum, such as Facebook Marketplace. You, other people using Facebook and Instagram, and we can provide access to or send public information to anyone on or off our Products, including in other Facebook Company Products, in search results, or through tools and APIs. Public information can also be seen, accessed, reshared or downloaded through third-party services such as search engines, APIs, and offline media such as TV, and by apps, websites and other services that integrate with our Products.
95	3	Where we rely on your IP address or MCC, we cannot apply the terms of this section to any user that masks or otherwise obfuscates their location information so as not to appear located in the Designated Countries. If any terms in this section conflict with other terms contained in this Policy, the terms in this section shall apply to users in the Designated Countries.
96	2	For matters that you have specifically consent to: From time to time Canva may seek your consent to use your information for a particular purpose. Where you consent to our doing so, we will use it for that purpose. Where you no longer want us to use your information for that purpose you may withdraw your consent to this use.
97	7	③ The Company uses anti-virus software to prevent damages that arise from computer viruses and regularly updates the software.
98	4	For advertising purposes. We may share your advertising ID with advertising in order to serving behavioral advertisements to you within the Game if you have given consent in accordance with Article 6(1)(a) of the GDPR.
99	7	I value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and I cannot guarantee its absolute security.
100	1	We also might use plug-ins or other technologies from various social media websites. If you click on a connection provided through a social media plug-in, a connection with the relevant social media is automatically established.
101	10	When using the persistent identifiers we will not contact users under the age of 13, display behavioral advertising to them, nor do any user tracking or profiling. In addition, we strive that all of our advertising partners adhere to the same standards for the collection, usage and disclosure of children’s personal information as we do, but we can not be responsible if they breach the commitments they gave to us regarding the collection of information. In case of such breaches you agree that our liability is limited to the amounts we are able to receive as indemnification for the breaches from our advertising partner. For the detailed information about disclosure to third parties please see section How do we share your information and data to third parties of this Privacy Policy. For any additional questions about third party information disclosure please refer to privacy@outfit7.com.
102	1	Log Data. When you use the Service, we automatically record information from your Device, its software, and your activity using the Services. This may include the Device’s Internet Protocol (“IP”) address, browser type, the web page visited before you came to our website, information you search for on our website, locale preferences, identification numbers associated with your Devices, your mobile carrier, date and time stamps associated with transactions, system configuration information, metadata concerning your Files, and other interactions with the Service.
103	4	We also share personal data with vendors or agents working on our behalf for the purposes described in this privacy policy. For example, companies we’ve hired to provide data analytical services may need collect and access to personal data to provide those functions. In such cases, these companies must abide by our data privacy and security requirements.
104	6	You have the right to access, modify, correct or delete any personal information we may collect.
105	4	We may use analytics providers to help us understand the use of our services. These providers will collect the information sent by your mobile device or browser, and their use of that information is governed by their applicable privacy policy.
106	8	The Company will notify Members at least 30 days prior to terminating an inactive account, and the notice will contain the following information: ; - The fact that the Member’s personal data will be destroyed or separately stored ; - Date and time of destruction ; - The items of personal data to be destroyed
